St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,AFAM 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 298,,,IS/,,1.00 ,N,,,,Staff
C,AFAM 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 398,,,IR/,,1.00 ,N,,,,Staff
C,AMST 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 298,,,IS/,,1.00 ,N,,,,Staff
C,AMST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 398,,,IR/,,1.00 ,N,,,,Staff
C,AR/AS 262,,,Sacred Sites/South Asia This is an off-campus course.,,1.00 ,N,ALS-A MCG,,,"Kucera, Karil J."
C,ARMS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 298,,,IS/,,1.00 ,N,,,,Staff
C,ARMS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 398,,,IR/,,1.00 ,N,,,,Staff
C,ART 103,,,Foundation 3-D Media This course has class-year limits.,,1.00 ,N,ALS-A,M-F 0900-1000 M-F 1040-1200PM M-F 0100-0300PM,DC 106 DC 106 DC 106,"Fisher, Kathryne"
C,ART 106,,,Draw from Nature/Islands This is an off-campus course.,,1.00 ,N,ALS-A,,,"Griep, Mary"
C,ART 233,,,Advanced Drawing Open to all students who meet the prerequisite.,,1.00 ,N,,M-F 0900-1000 M-F 1040-1200PM M-F 0100-0300PM,DC 216 DC 216 DC 216,"Arneson, Wendell"
C,ART 246,,,Manhattan Art Interim This is an off-campus course.,,1.00 ,N,,,,"Ojala, Margaret"
C,ART 251,,,Art 1776-1880 Open to First-Year Students.,,1.00 ,N,ALS-A HWC,M-F 1040-1240PM,DC 305,"Rohn, Matthew"
C,ART 253,,,Art Since 1945 Open to First-Year Students.,,1.00 ,N,ALS-A HWC,M-F 0100-0300PM,DC 305,"Tradowsky, Christopher"
C,ART 294,,,Academic Internship,,1.00 ,Y,,,,"Arneson, Wendell"
O,ART 298,,,IS/Pouring Vessels,,1.00 ,N,,,,"Fisher, Kathryne"
O,ART 298,A,,IS/Transforming Spaces,,1.00 ,N,,,,"Arneson, Wendell"
O,ART 298,B,,IS/,,1.00 ,N,,,,Staff
C,ART 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ART 398,,,IR/Modernism in Brasilia,,1.00 ,N,,,,"Rohn, Matthew"
C,ART 398,A,,IR/Art Apprenticeship II,,1.00 ,N,,,,"Saurer, John"
C,AS/HI 262,,,Nat'l ID/Ethnicity/China This is an off-campus course.,,1.00 ,N,MCG,,,"Entenmann, Robert"
O,AS/MU 238,,,Music/Society/Indonesia,,1.00 ,N,ALS-A MCG,MW 1045-1230PM MWTh 0145-0300PM T 1045-0100PM,CHM 224 CHM 224 CHM 224,"Byl, Julia"
O,AS/PS 245,,,Nation/Region/Globe/Asia,,1.00 ,N,HBS MCG,M-F 0100-0300PM,HH 317,"Tegtmeyer Pak, Katherine S."
O,ASIAN 126,,,Japanese Lang/Society This course has class-year limits. No knowledge of Japanese required.,,1.00 ,N,MCG,M-Th 1040-1200PM M-Th 0100-0200PM,OM 001 RML 577,"Hoogenboom, Tomoko"
O,ASIAN 156,,,Cont China Thru Film,,1.00 ,N,ALS-A MCG,M-F 1040-1240PM,HH 307,"Wan, Pin Pin"
C,ASIAN 215,,,AsianCon2:Meet Sojourners Registration restricted to students in the Asian Con program. This is an off-campus course.,,1.00 ,N,,,,"Ito, Rika"
C,ASIAN 216,,,AsianCon2:Meet Sojourners Registration restricted to students in the Asian Con program.,,1.00 ,N,,,,Staff
O,ASIAN 226,,T,Top: Japan Lang & Soc Not open to first-year students. For students with some knowledge of Japanese.,,1.00 ,N,MCG,M-F 1040-1240PM,OM 001,"Hoogenboom, Tomoko"
C,ASIAN 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ASIAN 298,,,IS/,,1.00 ,N,,,,Staff
C,ASIAN 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ASIAN 398,,,IR/,,1.00 ,N,,,,Staff
O,BIO 124,,,The Biology of Women,,1.00 ,N,IST,MTThF 1040-1200PM MTThF 0100-0300PM,RNS 190 RNS 190,"Fruehling, Sara E."
