St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
O,AFAM 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 298,,,IS/,,1.00 ,N,,,,Staff
O,AFAM 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 398,,,IR/,,1.00 ,N,,,,Staff
O,AMST 206,,T,Top: Sitcom America Note: MCD and HWC pending approval.,,1.00 ,N,HWC MCD,M-F 0100-0300PM,,"Kutulas, Judy"
O,AMST 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 298,,,IS/,,1.00 ,N,,,,Staff
O,AMST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 398,,,IR/,,1.00 ,N,,,,Staff
O,ARMS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 294,A,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 298,,,IS/,,1.00 ,N,,,,Staff
O,ARMS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 398,,,IR/,,1.00 ,N,,,,Staff
O,ART 103,,,Foundation 3-D Media,,1.00 ,N,ALS-A,M-F 0900-1000 M-F 1040-1240PM M-F 0100-0300PM,TOH 182 TOH 182 TOH 182,"Dell, Irve"
O,ART 104,,,Foundation New Media,,1.00 ,N,ALS-A,M-F 0900-1000 M-F 1040-1240PM M-F 0100-0300PM,TOH 182 TOH 182 TOH 182,"Nelson, Peter B."
O,ART 150,,,Intro/Art History I,,1.00 ,N,ALS-A MCG,M-F 0100-0300PM,,"Kucera, Karil J."
O,ART 233,,,Advanced 2D Studio Open to all students who meet the prerequisite.,,1.00 ,N,,M-F 0900-1000 M-F 1040-1200PM M-F 0100-0300PM,DC 214 DC 214 DC 214,"Weeks, Michon"
O,ART 246,,,Manhattan Art Interim This is an off-campus course. You will find this course listed in Studio Abroad under its course title.,,1.00 ,N,,,,"Saurer, John"
O,ART 251,,,Art 1776-1880,,1.00 ,N,ALS-A HWC,M-F 1040-1240PM,DC 305,"Rohn, Matthew"
O,ART 253,,,Art Since 1945 Open to first-year students.,,1.00 ,N,ALS-A HWC,M-F 0100-0300PM,DC 305,"Tradowsky, Christopher"
O,ART 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ART 298,,,IS/,,1.00 ,N,,,,Staff
O,ART 298,A,,IS/,,1.00 ,N,,,,Staff
O,ART 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ART 398,,,IR/,,1.00 ,N,,,,Staff
O,ART 398,A,,IR/,,1.00 ,N,,,,Staff
O,ART 398,B,,IR/,,1.00 ,N,,,,Staff
O,ART 398,C,,IR/,,1.00 ,N,,,,Staff
O,ART 398,D,,IR/,,1.00 ,N,,,,Staff
O,AS/PS 245,,,Asian Regionalism,,1.00 ,N,HBS MCG,M-F 1040-1240PM,,"Tegtmeyer Pak, Katherine S."
O,AS/RE 257,,,Buddhism,,1.00 ,N,MCG,M-F 0100-0300PM,,"Reed, Barbara"
O,ASIAN 156,,,Cont China Thru Film,,1.00 ,N,ALS-A MCG,M-F 1040-1240PM,,"Wan, Pin Pin"
O,ASIAN 215,,,AsianCon2: Encounter Asia Registration restricted to students in the Asian Con program. This is an off-campus course. You will find this course listed in Studio Abroad under its course title.,,1.00 ,N,,,,"Entenmann, Robert Bridges IV, William H."
O,ASIAN 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ASIAN 298,,,IS/,,1.00 ,N,,,,Staff
O,ASIAN 298,A,,IS/,,1.00 ,N,,,,Staff
O,ASIAN 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ASIAN 398,,,IR/,,1.00 ,N,,,,Staff
O,BI/ES 228,,,Environmental Health,,1.00 ,N,IST,,,"Angell, Diane K."
O,BI/ES 286,,,Tropical Ecology This is an off-campus course. You will find this course listed in Studio Abroad under its course title.,,1.00 ,N,,,,"Shea, Kathleen L."
O,BIO 124,,,The Biology of Women,,1.00 ,N,IST,MTThF 1040-1200PM MTThF 0100-0300PM,,"Bowers, Lisa M."
O,BIO 128,,,"Water:Prec, Precar, &Prob",,1.00 ,N,IST,M-F 0900-1000 M-F 1040-1200PM,,"Van Wylen, David"
O,BIO 135,,,Thinking & Doing Bio Students in Bio 135 must also register for lab Bio 135 L. This course has class-year limits.,,1.00 ,N,IST SED,M-F 0900-1000,RNS 455,"Giannini, John"
O,BIO 135,,L,    Thinking & Doing Bio Lab,,0.00 ,N,,M-F 1040-0100PM,RNS 455,"Giannini, John"
O,BIO 284,,,Peruvian Medical Exp This is an off-campus course. You will find this course listed in Studio Abroad under its course title.,,1.00 ,N,,,,"Johnson, Theodore"
O,BIO 288,,,Equatorial Biology This is an off-campus course. You will find this course listed in Studio Abroad under its course title.,,1.00 ,N,,,,"Walter, Anne"
O,BIO 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,BIO 298,,,IS/,,1.00 ,N,,,,Staff
O,BIO 386,,,Animal Behavior,,1.00 ,N,IST SED,M-Th 0900-1000 M-Th 1040-1200PM M-Th 0100-0300PM,,"Kermott, Louis Henry"
O,BIO 386,,L,    Animal Behavior Lab,,0.00 ,N,,,,"Kermott, Louis Henry"
O,BIO 391,,T,Top: Develop Neurobiology,,1.00 ,N,,M-Th 1040-1200PM M-Th 0100-0300PM,,"Demas, James"
O,BIO 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,BIO 398,,,IR/,,1.00 ,N,,,,Staff
O,BMOLS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,BMOLS 298,,,IS/,,1.00 ,N,,,,Staff
O,BMOLS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,BMOLS 398,,,IR/,,1.00 ,N,,,,Staff
O,CH/BI 126,,,Integrated Chem/Bio II Students in CH/BI 126 must also register for lab CH/BI 126 AL or BL. Open only to those students who have completed CH/BI 125.,,1.00 ,N,,M-F 0800-1000 M-F 1045-1145,RNS 310 RNS 310,"Abdella, Beth"
O,CH/BI 126,A,L,    Integrate Chem/Bio II Lab,,0.00 ,N,,M-Th 1230-0300PM,RNS 355,"Abdella, Beth"
O,CH/BI 126,B,L,    Integrate Chem/Bio II Lab,,0.00 ,N,,M-Th 1230-0300PM,RNS 350,"Listenberger, Laura"
O,CHEM 123,A,,Atom/Molec Structure,,1.00 ,N,,M-F 0800-1000,RNS 390,"Fogarty, Keir"
O,CHEM 123,B,,Atom/Molec Structure,,1.00 ,N,,M-F 1040-1240PM,RNS 390,"Marlier, Elodie"
O,CHEM 124,,,A Matter of Environ Students in Chemistry 124 must also register for lab Chemistry 124 L.,,1.00 ,N,IST SED,M-F 0800-1000,RNS 410,"Jackson, Paul T."
O,CHEM 124,,L,    A Matter of Environ Lab,,0.00 ,N,,TWTh 1230-0330PM,RNS 454,"Jackson, Paul T."
O,CHEM 252,,,Organometallic Chem,,1.00 ,N,WRI,M-F 0100-0300PM,RNS 435,"Miessler, Gary"
O,CHEM 260,,,Med Chem in Jamaica You will find this course listed in Studio Abroad under its course title.,,1.00 ,N,,,,"Muth, Gregory W."
O,CHEM 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CHEM 298,,,IS/,,1.00 ,N,,,,Staff
O,CHEM 380,,,Organic Analys/Theory Students in Chemistry 380 must also register for lab Chemistry 380 L.,,1.00 ,N,,M-F 0800-1000,RNS 435,"Pearson, Wesley"
O,CHEM 380,,L,    Organic Analys/Theory Lab,,0.00 ,N,,,,"Pearson, Wesley"
O,CHEM 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CHEM 398,,,IR/,,1.00 ,N,,,,Staff
O,CHIN 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CHIN 298,,,IS/,,1.00 ,N,,,,Staff
O,CHIN 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CHIN 398,,,IR/,,1.00 ,N,,,,Staff
O,CLASS 129,,,The Neverending Myth,,1.00 ,N,ALS-L,M-F 1040-1240PM,,"Brunelle, Christopher M."
O,CLASS 251,,,Class Studies Greece This is an off-campus course. You will find this course listed in Studio Abroad under its course title.,,1.00 ,N,ALS-A HWC,,,"May, James"
O,CLASS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CLASS 298,,,IS/,,1.00 ,N,,,,Staff
O,CLASS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CLASS 398,,,IR/,,1.00 ,N,,,,Staff
O,CSCI 117,,,Gateways Computer Science,,1.00 ,N,AQR,M-F 0100-0300PM,,"Brown, Richard"
O,CSCI 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CSCI 298,,,IS/,,1.00 ,N,,,,Staff
O,CSCI 350,,,Advanced Team Project,,1.00 ,N,,M-F 0830-1000 M-F 0100-0300PM,RNS 202 TOH 182,"Hall-Holt, Olaf A."
O,CSCI 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CSCI 398,,,IR/,,1.00 ,N,,,,Staff
O,CSCI 398,A,,IR/,,1.00 ,N,,,,Staff
O,DANCE 124,,,World Dance Tradition,,1.00 ,N,ALS-A MCG,MTThF 1040-1200PM MTThF 0100-0300PM,,"von Bibra, Anne"
O,DANCE 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,DANCE 298,,,IS/,,1.00 ,N,,,,Staff
O,DANCE 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,DANCE 398,,,IR/,,1.00 ,N,,,,Staff
O,ECON 218,,,Econ Progress China This is an off-campus course. You will find this course listed in Studio Abroad under its course title.,,1.00 ,N,HBS MCG,,,"Pomponio, Xun"
O,ECON 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ECON 298,,,IS/,,1.00 ,N,,,,Staff
O,ECON 298,A,,IS/,,1.00 ,N,,,,Staff
O,ECON 298,B,,IS/,,1.00 ,N,,,,Staff
O,ECON 394,,,Academic Internship,,1.00 ,Y,,,,Staff
