St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,AFAM 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 298,,,IS/,,1.00 ,N,,,,Staff
C,AFAM 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 398,,,IR/,,1.00 ,N,,,,Staff
C,AMST 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 298,,,IS/,,1.00 ,N,,,,Staff
C,AMST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 398,,,IR/,,1.00 ,N,,,,Staff
C,AR/AS 262,,,Sacred Sites/South Asia This is an off-campus course.,,1.00 ,N,ALS-A MCG,,,"Kucera, Karil J."
C,ARMS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 294,A,,Academic Internship,,1.00 ,Y,,,,"Gallego, Carlos"
O,ARMS 298,,,IS/,,1.00 ,N,,,,Staff
C,ARMS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 398,,,IR/,,1.00 ,N,,,,Staff
C,ART 102,,,Foundation 2-D Media This course has class-year limits.,,1.00 ,N,ALS-A,M-F 0900-0300PM,DC 216,"Weeks, Michon"
C,ART 106,,,Draw from Nature/Islands This is an off-campus course.,,1.00 ,N,ALS-A,,,"Saurer, John"
C,ART 233,,,Advanced 2D Studio Open to all students who meet the prerequisite.,,1.00 ,N,,M-F 0900-1000 M-F 1040-1200PM M-F 0100-0300PM,DC 214 DC 214 DC 214,"Arneson, Wendell"
C,ART 240,,,Creating Visual Spectacle Registration by invitation only.,,1.00 ,N,,M-F 0900-1000 M-F 1040-1240PM M-F 0100-0300PM,DC 106 DC 106 DC 106,"Dell, Irve"
C,ART 251,,,Art 1776-1880,,1.00 ,N,ALS-A HWC,M-F 1040-1240PM,DC 305,"Rohn, Matthew"
C,ART 253,,,Art Since 1945 Open to first-year students.,,1.00 ,N,ALS-A HWC,M-F 0100-0300PM,DC 305,"Tradowsky, Christopher"
C,ART 255,,,Ital Art in Context This is an off-campus course.,,1.00 ,N,ALS-A,,,"Thompson, Nancy M."
C,ART 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ART 294,A,,Academic Internship,,1.00 ,Y,,,,"Dell, Irve"
O,ART 294,B,,Academic Internship,,1.00 ,Y,,,,"Arneson, Wendell"
O,ART 298,,,IS/,,1.00 ,N,,,,Staff
C,ART 298,A,,IS/Mixmedia Oil Painting,,1.00 ,N,,,,"Arneson, Wendell"
O,ART 298,B,,IS/Early Contemp Ceramics,,1.00 ,N,WRI,,,"Gallas, Ron"
O,ART 298,C,,IS/Study of 3D Media,,1.00 ,N,,,,"Fisher, Kathryne"
O,ART 298,D,,IS/Art Criticism,,1.00 ,N,WRI,,,"Rohn, Matthew"
O,ART 298,E,,IS/Curation Studies,,1.00 ,N,,,,"Tradowsky, Christopher"
O,ART 298,F,,IS/Art and Identity,,1.00 ,N,,,,"Dell, Irve Williamson, Thomas A."
C,ART 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ART 398,,,IR/,,1.00 ,N,,,,Staff
C,ART 398,A,,IR/Art Apprenticeship 2,,1.00 ,N,,,,"Saurer, John"
C,ART 398,B,,IR/Env in Romantic Art,,1.00 ,N,,,,"Rohn, Matthew"
C,ART 398,C,,IR/Advanced Oil Painting,,1.00 ,N,,,,"Arneson, Wendell"
C,ART 398,D,,IR/Graphic Design Prep,,1.00 ,N,,,,"Cameron, Janet C."
O,ASIAN 126,,,Japanese Lang/Society,,1.00 ,N,MCG,M-F 1040-1240PM,OM 240,"Ito, Rika"
C,ASIAN 130,,,Japan SciFi/Global Persp New course,,1.00 ,N,ALS-L MCG,M-F 1040-1240PM,TOH 112,"Bridges IV, William H."
C,ASIAN 215,,,AsianCon2: Encounter Asia Registration restricted to students in the Asian Con program. This is an off-campus course.,,1.00 ,N,,,,"Tegtmeyer Pak, Katherine S. Wan, Pin Pin"
C,ASIAN 237,,,Modern Chinese Lit & Soc,,1.00 ,N,ALS-L MCG WRI,M-F 1040-1240PM,TOH 316,"Chen, Luying"
C,ASIAN 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ASIAN 298,,,IS/,,1.00 ,N,,,,Staff
