St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
O,ART 340,,T,Topics Sem/Studio Art,,1.00 ,N,,MWF 1045-1245PM,DC 103,"Weeks, Michon"
C,ART 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ART 398,,,IR/,,1.00 ,N,,,,Staff
O,ART 398,A,,IR/Art & Semiotic Theory,,1.00 ,N,,,,"Tradowsky, Christopher"
O,ART 398,B,,IR/Contemp Art in China,,1.00 ,N,,,,"Kucera, Karil J."
O,ART 398,C,,IR/Myth In Ancient Art,,1.00 ,N,WRI,,,"Kucera, Karil J."
O,AS/HI 250,,,Chinese Civilization,,1.00 ,N,MCG,MWF 0200-0255PM,RML 525,"Entenmann, Robert"
O,AS/HI 250,,F,FLC - Chinese,,0.25 ,N,,,,"Entenmann, Robert"
O,AS/RE 253,,,Hinduism,,1.00 ,N,MCG,T 0800-0925 Th 0800-0920,OM 240 OM 240,"Rambachan, Anantanand"
C,AS/RE 289,A,,"Buddhism, Peace, Justice Prerequisite: Completion of BTS-T or permission of the instructor. Open only to rising Seniors during web registration. Juniors may add on a space available basis during the drop/add period.",,1.00 ,N,EIN,MWF 1255-0150PM,OM 340,"Reed, Barbara"
C,AS/RE 289,B,,"Buddhism, Peace, Justice Prerequisite: Completion of BTS-T or permission of the instructor. Open only to rising Seniors web registration. Rising Juniors may add on a space available basis during the drop/add period.",,1.00 ,N,EIN,MWF 0200-0255PM,OM 340,"Reed, Barbara"
C,ASIAN 210,,,AsianCon1:MappingJourneys Registration for this course restricted to those students who have applied to the Asian Conversations program and been accepted into it.,,1.00 ,N,,T 1145-0110PM Th 1245-0205PM,TOH 210 TOH 210,"Ito, Rika Kucera, Karil J."
O,ASIAN 240,,,Talking in Japan/US,,1.00 ,N,HBS MCG ORC,MWF 0905-1000,TB 216,"Ito, Rika"
O,ASIAN 268,,,Chinese Calligraphy,,1.00 ,N,ALS-A MCG,T 1145-0110PM Th 1245-0205PM,HH 307 HH 307,"Wan, Pin Pin"
O,ASIAN 275,,,ID Approaches to Asia,,0.25 ,N,,M 0700-0900PM,RML 477,"MacPherson, Kristina"
O,ASIAN 298,,,IS/,,1.00 ,N,,,,Staff
C,ASIAN 397,,,"Human Rights/AsianContext Prerequisite: Completion of BTS-T or permission of instructor. Open only to rising Seniors during web registration, Juniors may add later if space is available.",,1.00 ,N,EIN WRI,T 0120-0245PM Th 0215-0335PM,HH 317 HH 317,"Tegtmeyer Pak, Katherine S."
O,ASIAN 398,,,IR/,,1.00 ,N,,,,Staff
C,BIO 123,,,"Human Biology Students in Bio 123 must also register for one lab Bio 123 AL, BL, or CL.",,1.00 ,N,IST SED,T 1145-0110PM Th 1245-0205PM,RNS 310 RNS 310,"Van Wylen, David"
C,BIO 123,A,L,    Human Biology Lab,,0.00 ,N,,W 0200-0400PM,RNS 254,"Van Wylen, David"
C,BIO 123,B,L,    Human Biology Lab,,0.00 ,N,,Th 0900-1100,RNS 254,"Van Wylen, David"
C,BIO 123,C,L,    Human Biology Lab,,0.00 ,N,,Th 0215-0415PM,RNS 254,"Van Wylen, David"
O,BIO 126,,,Evolution and Diversity Students in Bio 126 must also register for one lab Bio 126 AL or BL.,,1.00 ,N,SED,MWF 0800-0855,RNS 390,"Swift, Michael"
O,BIO 126,A,L,    Evolution & Diversity Lab,,0.00 ,N,,Th 0800-1030,RNS 398,"Swift, Michael"
O,BIO 126,B,L,    Evolution & Diversity Lab,,0.00 ,N,,Th 0215-0445PM,RNS 398,"Swift, Michael"
O,BIO 143,,,Human A&P:Cells & Tissues Students in Bio 143 must also register for one lab Bio 143 AL or BL.,,1.00 ,N,IST SED,T 1145-0110PM Th 1245-0205PM,RNS 410 RNS 410,"Crisp, Kevin M."
O,BIO 143,A,L,    Cells and Tissues Lab,,0.00 ,N,,M 0100-0400PM,RNS 398,"Crisp, Kevin M."
O,BIO 143,B,L,    Cells and Tissues Lab,,0.00 ,N,,T 0800-1100,RNS 398,"Crisp, Kevin M."
C,BIO 150,A,,Biodiversity Foundations Students in Bio 150A must also register for one lab Bio 150 AL or BL.,,1.00 ,N,IST SED,MWF 1045-1140,RNS 410,"Angell, Diane K."
C,BIO 150,B,,Biodiversity Foundations Students in Bio 150B must also register for one lab Bio 150 CL or DL.,,1.00 ,N,IST SED,MWF 1150-1245PM,RNS 410,"Freedberg, Steven"
O,BIO 150,C,,Biodiversity Foundations Students in Bio 150C must also register for one lab Bio 150 EL or FL.,,1.00 ,N,IST SED,MWF 0905-1000,RNS 410,"Umbanhowar, Charles Jr."
C,BIO 150,A,L,    Biodiversity Found Lab,,0.00 ,N,,M 0100-0400PM,RNS 255,"Angell, Diane K."
O,BIO 150,B,L,    Biodiversity Found Lab,,0.00 ,N,,T 0800-1100,RNS 255,"Angell, Diane K."
C,BIO 150,C,L,    Biodiversity Found Lab,,0.00 ,N,,T 0120-0420PM,RNS 255,"Freedberg, Steven"
C,BIO 150,D,L,    Biodiversity Found Lab,,0.00 ,N,,W 0200-0500PM,RNS 255,"Freedberg, Steven"
O,BIO 150,E,L,    Biodiversity Found Lab,,0.00 ,N,,Th 0800-1100,RNS 255,"Umbanhowar, Charles Jr."
O,BIO 150,F,L,    Biodiversity Found Lab,,0.00 ,N,,Th 1245-0345PM,RNS 255,"Umbanhowar, Charles Jr."
C,BIO 233,A,,Intermediate Genetics Students in Bio 233A must also register for one lab Bio 233 AL or BL.,,1.00 ,N,,MWF 0905-1000,RNS 390,"Kandl, Kimberly A."
C,BIO 233,B,,Intermediate Genetics Students in Bio 233B must also register for one lab Bio 233 CL or DL.,,1.00 ,N,,MWF 1045-1140,RNS 290,"Porterfield, Jean C."
C,BIO 233,A,L,    Intermediate Genetics Lab,,0.00 ,N,,M 0100-0400PM,RNS 394,"Kandl, Kimberly A."
C,BIO 233,B,L,    Intermediate Genetics Lab,,0.00 ,N,,T 0800-1100,RNS 394,"Kandl, Kimberly A."
C,BIO 233,C,L,    Intermediate Genetics Lab,,0.00 ,N,,T 0120-0420PM,RNS 394,"Porterfield, Jean C."
C,BIO 233,D,L,    Intermediate Genetics Lab,,0.00 ,N,,W 0200-0500PM,RNS 394,"Porterfield, Jean C."
C,BIO 243,,,"Human Anatomy & Physiol Students in Bio 243 must also register for one lab Bio 243 AL, BL, or CL.",,1.00 ,N,,MWF 0800-0855,RNS 150,"Kermott, Louis Henry"
C,BIO 243,A,L,    Human Anatomy & Physiol L,,0.00 ,N,,M 0100-0400PM,RNS 254,"Kermott, Louis Henry"
C,BIO 243,B,L,    Human Anatomy & Physiol L,,0.00 ,N,,T 0800-1100,RNS 254,"Kermott, Louis Henry"
C,BIO 243,C,L,    Human Anatomy & Physiol L,,0.00 ,N,,T 0120-0420PM,RNS 254,"Kermott, Louis Henry"
O,BIO 247,,,"Animal Physiology Students in Bio 247 must also register for one lab Bio 247 AL, BL or CL.",,1.00 ,N,,T 0935-1100 Th 0930-1050,RNS 410 RNS 410,"Walter, Anne"
O,BIO 247,A,L,    Animal Physiology Lab,,0.00 ,N,,T 0120-0420PM,RNS 250,"Walter, Anne"
O,BIO 247,B,L,    Animal Physiology Lab,,0.00 ,N,,W 0200-0500PM,RNS 250,"Walter, Anne"
O,BIO 247,C,L,    Animal Physiology Lab,,0.00 ,N,,Th 1245-0345PM,RNS 250,"Walter, Anne"
O,BIO 248,,,Invertebrate Biology Students in Bio 248 must also register for one lab Bio 248 AL or BL.,,1.00 ,N,,MWF 0800-0855,RNS 208,"Cole, Eric"
O,BIO 248,A,L,    Invertebrate Biology Lab,,0.00 ,N,,W 0200-0500PM,RNS 246,"Cole, Eric"
O,BIO 248,B,L,    Invertebrate Biology Lab,,0.00 ,N,,Th 0215-0515PM,RNS 246,"Cole, Eric"
C,BIO 251,,,Plant Physiology Students in Bio 251 must also register for one lab Bio 251 AL or BL.,,1.00 ,N,,MWF 0905-1000,RNS 190,"Giannini, John"
C,BIO 251,A,L,    Plant Physiology Lab,,0.00 ,N,,M 0100-0400PM,RNS 455,"Giannini, John"
C,BIO 251,B,L,    Plant Physiology Lab,,0.00 ,N,,T 0800-1100,RNS 455,"Giannini, John"
C,BIO 261,,,"Ecological Principles Students in Bio 261 must also register for one lab Bio 261 AL, BL, or CL.",,1.00 ,N,SED,MWF 1150-1245PM,RNS 310,"Schade, John D."
C,BIO 261,A,L,    Ecological Principles Lab,,0.00 ,N,,W 0100-0400PM,RNS 440,"Schade, John D."
C,BIO 261,B,L,    Ecological Principles Lab,,0.00 ,N,,Th 0800-1100,RNS 440,"Schade, John D."
C,BIO 261,C,L,    Ecological Principles Lab,,0.00 ,N,,Th 1245-0345PM,RNS 440,"Schade, John D."
O,BIO 291,,T,Top: Med Care in Peru Registration by permission of instructor only.,,0.25 ,N,,F 0300-0500PM,RNS 190,"Johnson, Theodore"
C,BIO 294,,,Academic Internship,,0.50 ,Y,,,,Staff
O,BIO 298,,,IS/,,1.00 ,N,,,,Staff
O,BIO 298,A,,IS/Human Gross Anatomy,,1.00 ,N,,,,"Crisp, Kevin M."
O,BIO 315,,,Prin of Bioinformatics Students in Bio 315 must also register for lab Bio 315 L. Open to rising seniors and juniors only.,,1.00 ,N,,MWF 0905-1000,RNS 160D,"Freedberg, Steven"
O,BIO 315,,L,    Prin of Bioinform Lab Open to rising seniors and juniors only.,,0.00 ,N,,M 0100-0400PM,,"Freedberg, Steven"
C,BIO 364,,,Molecular Biology Students in Bio 364 must also register for one lab Bio 364 AL or BL. Open to rising seniors and juniors only.,,1.00 ,N,,T 1145-0110PM Th 1245-0205PM,RNS 390 RNS 390,"Bowers, Lisa M."
C,BIO 364,A,L,    Molecular Biology Lab Open to rising seniors and juniors only.,,0.00 ,N,,W 0200-0500PM,RNS 393,"Bowers, Lisa M."
C,BIO 364,B,L,    Molecular Biology Lab Open to rising seniors and juniors only.,,0.00 ,N,,Th 0215-0515PM,RNS 393,"Bowers, Lisa M."
C,BIO 371,,,Field Ecology Must also register for Bio 371L and Bio 371D. Open to rising seniors and juniors only.,,1.00 ,N,ORC WRI,T 0120-0220PM,RNS 426,"Shea, Kathleen L."
C,BIO 371,,L,    Field Ecology Lab Open to rising seniors and juniors only.,,0.00 ,N,,T 0230-0530PM,RNS 440,"Shea, Kathleen L."
C,BIO 371,,D,    Field Ecology Disc Open to rising seniors and juniors only.,,0.00 ,N,,Th 0215-0405PM,RNS 426,"Shea, Kathleen L."
C,BIO 382,,,Immunology Students registering for Bio 382 must also register for disc Bio 382 AD or BD. Open to rising seniors and juniors only.,,1.00 ,N,WRI,MWF 1045-1140,RNS 190,"Johnson, Theodore"
C,BIO 382,A,D,    Immunology Disc Open to rising seniors and juniors only.,,0.00 ,N,,T 0120-0320PM,RNS 356A,"Johnson, Theodore"
C,BIO 382,B,D,    Immunology Disc,,0.00 ,N,,W 0200-0400PM,RNS 356A,"Johnson, Theodore"
C,BIO 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,BIO 398,,,IR/,,1.00 ,N,,,,Staff
O,BMOLS 398,,,IR/,,1.00 ,N,,,,Staff
C,CH/BI 125,,,Integrated Chem/Bio I Students in CH/BI 125 must also register for lab section CH/BI 125AL or BL. Closed until first-year student registration in September.,,1.00 ,N,IST SED,MWF 0905-1000,RNS 290,"Muth, Gregory W."
C,CH/BI 125,A,L,    Integrated Chem/Bio I Lab,,0.00 ,N,,T 0800-1100,RNS 454,"Muth, Gregory W."
C,CH/BI 125,B,L,    Integrated Chem/Bio I Lab Closed until first-year student registration in September.,,0.00 ,N,,T 1145-0245PM,RNS 454,"Muth, Gregory W."
C,CHEM 121,A,,General Chemistry Students registering for Chem 121 must also register for one Chem 121 lab. This course has class year limits. Intended for potential bio and chem majors.,,1.00 ,N,SED,MWF 1045-1140,RNS 390,"Abdella, Beth"
C,CHEM 121,B,,General Chemistry Students registering for Chem 121 must also register for one Chem 121 lab. This course has class year limits. Intended for potential bio and chem majors.,,1.00 ,N,SED,T 0935-1100 Th 0930-1050,RNS 310 RNS 310,"Roberts, William P."
C,CHEM 121,A,L,    Gen Chemistry/Lab,,0.00 ,N,,W 0200-0500PM,RNS 355,"Abdella, Beth"
C,CHEM 121,B,L,    Gen Chemistry/Lab,,0.00 ,N,,Th 0800-1100,RNS 355,"Abdella, Beth"
C,CHEM 121,C,L,    General Chemistry Lab,,0.00 ,N,,Th 1250-0350PM,RNS 355,"Terrell, Cassidy R."
C,CHEM 121,D,L,    General Chemistry Lab,,0.00 ,N,,F 0100-0400PM,RNS 355,"Terrell, Cassidy R."
C,CHEM 121,E,L,    General Chemistry Lab,,0.00 ,N,,T 0800-1100,RNS 355,"Abdella, Beth"
C,CHEM 125,A,,Struct Chem & Equilib Students registering for Chem 125 must also register for one Chem 125 lab. This course has class year limits.,,1.00 ,N,SED,MWF 1045-1140,RNS 310,"Miessler, Gary"
C,CHEM 125,B,,Struct Chem & Equilib Students registering for Chem 125 must also register for one Chem 125 lab. This course has class year limits.,,1.00 ,N,SED,MWF 1150-1245PM,RNS 390,"Miessler, Gary"
C,CHEM 125,C,,Struct Chem & Equilib Students registering for Chem 125 must also register for one Chem 125 lab. This course has class year limits.,,1.00 ,N,SED,T 0800-0925 Th 0800-0920,RNS 390 RNS 390,"Fogarty, Keir"
C,CHEM 125,D,,Struct Chem & Equilib Students registering for Chem 125 must also register for one Chem 125 lab. This course has class year limits.,,1.00 ,N,SED,T 0935-1100 Th 0930-1050,RNS 390 RNS 390,"Fogarty, Keir"
C,CHEM 125,A,L,    Struct Chem & Equilib Lab,,0.00 ,N,,M 0200-0500PM,RNS 350,"Marlier, Elodie"
C,CHEM 125,B,L,    Struct Chem & Equilib Lab,,0.00 ,N,,T 0800-1100,RNS 350,"Marlier, Elodie"
C,CHEM 125,C,L,    Struct Chem & Equilib Lab,,0.00 ,N,,T 1145-0245PM,RNS 350,"Marlier, Elodie"
C,CHEM 125,D,L,    Struct Chem & Equilib Lab,,0.00 ,N,,T 0300-0600PM,RNS 350,"Jackson, Paul T."
C,CHEM 125,E,L,    Struct Chem & Equilib Lab,,0.00 ,N,,W 0200-0500PM,RNS 350,"Jackson, Paul T."
C,CHEM 125,F,L,    Struct Chem & Equilib Lab,,0.00 ,N,,Th 0800-1100,RNS 350,"Pearson, Wesley"
C,CHEM 125,G,L,    Struct Chem & Equilib Lab,,0.00 ,N,,Th 1250-0350PM,RNS 350,"Miessler, Gary"
O,CHEM 247,A,,Organic Chemistry I Students in Chem 247 must also register for one Chem 253 lab.,,1.00 ,N,,MWF 0800-0855,RNS 310,"Pearson, Wesley"
C,CHEM 247,B,,Organic Chemistry I Students in Chem 247 must also register for one Chem 253 lab.,,1.00 ,N,,MWF 0905-1000,RNS 310,"Kalyani, Dipannita"
C,CHEM 247,C,,Organic Chemistry I Students in Chem 247 must also register for one Chem 253 lab.,,1.00 ,N,,MWF 1255-0150PM,RNS 310,"Marlier, Elodie"
C,CHEM 253,A,L,    Synthesis Lab I,,0.25 ,Y,,M 1150-0250PM,RNS 340,"Kalyani, Dipannita"
C,CHEM 253,B,L,    Synthesis Lab I,,0.25 ,Y,,M 0300-0600PM,RNS 340,"Pearson, Wesley"
C,CHEM 253,C,L,    Synthesis Lab I,,0.25 ,Y,,T 0800-1100,RNS 340,"Pearson, Wesley"
C,CHEM 253,D,L,    Synthesis Lab I,,0.25 ,Y,,T 1145-0245PM,RNS 340,"Roberts, William P."
C,CHEM 253,E,L,    Synthesis Lab I,,0.25 ,Y,,T 0300-0600PM,RNS 340,"Roberts, William P."
C,CHEM 253,F,L,    Synthesis Lab I,,0.25 ,Y,,W 0200-0500PM,RNS 340,"Pearson, Wesley"
C,CHEM 253,G,L,    Synthesis Lab I,,0.25 ,Y,,Th 0800-1100,RNS 340,"Kalyani, Dipannita"
C,CHEM 253,H,L,    Synthesis Lab I,,0.25 ,Y,,Th 1250-0350PM,RNS 340,"Roberts, William P."
C,CHEM 255,,,Analytical Chem Students in Chem 255 must also register for one Chem 256 lab.,,1.00 ,N,,T 0800-0925 Th 0800-0920,RNS 410 RNS 410,"Walczak, Mary"
C,CHEM 256,A,L,    Analytical Lab,,0.25 ,Y,,M 0100-0500PM,RNS 446,"Walczak, Mary"
C,CHEM 256,B,L,    Analytical Lab,,0.25 ,Y,,T 1145-0345PM,RNS 446,"Walczak, Mary"
O,CHEM 256,C,L,    Analytical Lab,,0.25 ,Y,,W 0100-0500PM,RNS 446,"Walczak, Mary"
C,CHEM 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CHEM 298,,,IS/,,1.00 ,N,,,,Staff
C,CHEM 357,A,L,    Physical Lab,,0.25 ,Y,WRI,M 0100-0500PM,RNS 392,"Schwinefus, Jeffrey J."
C,CHEM 357,B,L,    Physical Lab,,0.25 ,Y,WRI,T 1145-0345PM,RNS 392,"Fogarty, Keir"
C,CHEM 357,C,L,    Physical Lab,,0.25 ,Y,WRI,W 0100-0500PM,RNS 392,"Schwinefus, Jeffrey J."
C,CHEM 371,,,Physical Chemistry Students in Chem 371 must also register for one Chem 357 lab. Open only to rising Juniors and rising Seniors.,,1.00 ,N,IST,MWF 0800-0855,RNS 290,"Schwinefus, Jeffrey J."
C,CHEM 373,,,Experimental Biochem Open only to rising Seniors and Juniors during web registration.,,0.25 ,Y,,T 0120-0520PM,RNS 393,"Terrell, Cassidy R."
O,CHEM 375,,L,    Advanced Lab,,0.25 ,Y,,,,Staff
C,CHEM 378,A,L,    Instr Analysis Lab,,0.25 ,Y,,T 0120-0520PM,RNS 450,"Beussman, Douglas J."
C,CHEM 378,B,L,    Instr Analysis Lab,,0.25 ,Y,,W 0100-0500PM,RNS 450,"Beussman, Douglas J."
O,CHEM 378,C,L,    Instr Analysis Lab,,0.25 ,Y,,M 0100-0500PM,RNS 450,"Beussman, Douglas J."
C,CHEM 378,D,L,    Instr Analysis Lab,,0.25 ,Y,,Th 0120-0520PM,RNS 450,"Beussman, Douglas J."
O,CHEM 379,A,,Biochemistry I,,1.00 ,N,IST,MWF 1150-1245PM,RNS 290,"Muth, Gregory W."
C,CHEM 379,B,,Biochemistry I,,1.00 ,N,IST,T 0935-1100 Th 0930-1050,RNS 290 RNS 290,"Terrell, Cassidy R."
O,CHEM 382,,,Instrumental Analysis Students in Chem 382 must also register for one Chem 378 lab.,,1.00 ,N,,MWF 1045-1140,RNS 435,"Beussman, Douglas J."
C,CHEM 394,,,Academic Internship,,1.00 ,Y,,,,Staff
C,CHEM 396,,,Res: Organometallic Catal Registration by invitation only. Closed during web registration.,,1.00 ,N,,,,"Kalyani, Dipannita"
O,CHEM 398,,,IR/,,1.00 ,N,WRI,,,Staff
O,CHIN 111,A,,"Beginning Chinese I Students in Chinese 111A must also register for one lab Chinese 111AL, BL or CL.",,1.00 ,N,,MWF 0905-1000,TOH 308,"Wong, Ka F."
O,CHIN 111,B,,"Beginning Chinese I Students in Chinese 111B must also register for one lab Chinese 111AL, BL or CL.",,1.00 ,N,,MWF 1150-1245PM,TOH 308,"Wong, Ka F."
O,CHIN 111,C,,"Beginning Chinese I Students in Chinese 111C must also register for one lab Chinese 111AL, BL or CL.",,1.00 ,N,,MWF 0200-0255PM,TOH 308,"Wong, Ka F."
O,CHIN 111,A,L,    Beginning Chinese I Lab,,0.00 ,N,,T 0935-1100,TOH 175,"Wong, Ka F."
O,CHIN 111,B,L,    Beginning Chinese I Lab,,0.00 ,N,,T 1145-0110PM,TOH 175,"Wong, Ka F."
O,CHIN 111,C,L,    Beginning Chinese I Lab,,0.00 ,N,,T 0120-0245PM,TOH 175,"Wong, Ka F."
C,CHIN 231,A,,Intermed Chinese I Students in Chinese 231A must also register for one lab Chinese 231AL or BL.,,1.00 ,N,FOL-C,MWF 1045-1140,TOH 308,"Shih, Hsiang-Lin"
O,CHIN 231,B,,Intermed Chinese I Students in Chinese 231B must also register for one lab Chinese 231AL or BL.,,1.00 ,N,FOL-C,MWF 1255-0150PM,TOH 308,"Shih, Hsiang-Lin"
C,CHIN 231,A,L,    Intermed Chinese I Lab,,0.00 ,N,,Th 0930-1050,TOH 308,"Shih, Hsiang-Lin"
O,CHIN 231,B,L,    Intermed Chinese I Lab,,0.00 ,N,,Th 0800-0920,TOH 308,"Shih, Hsiang-Lin"
C,CHIN 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CHIN 298,,,IS/,,1.00 ,N,,,,Staff
O,CHIN 301,,,Advanced Chinese I,,1.00 ,N,FOL-C,MWF 0905-1000,TOH 316,"Shih, Hsiang-Lin"
O,CHIN 320,,,Special Topics in Chinese,,1.00 ,N,,MWF 0905-1000,TOH 300,"Wan, Pin Pin"
C,CHIN 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CHIN 398,,,IR/,,1.00 ,N,,,,Staff
C,CLASS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CLASS 298,,,IS/,,1.00 ,N,,,,Staff
C,CLASS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CLASS 398,,,IR/,,1.00 ,N,,,,Staff
C,CSCI 121,,,Principles Comp Sci,,1.00 ,N,AQR,MWF 0905-1000,RNS 203,"Allen, Richard"
O,CSCI 125,,,Comp Sci for Science/Math,,1.00 ,N,AQR,MWF 1150-1245PM,RNS 203,"Hall-Holt, Olaf A."
O,CSCI 241,,,Hardware Design,,1.00 ,N,,MWF 1255-0150PM,RNS 203,"Brown, Richard"
O,CSCI 251,,,Software Design This course has class-year limits. Students in CSCI 251 must also register for one lab CSCI 252 AL or BL.,,1.00 ,N,,MWF 0200-0255PM,RNS 203,"Hall-Holt, Olaf A."
O,CSCI 252,A,L,    Software Design/Lab,,0.25 ,N,,W 0300-0500PM,RNS 202,"Hall-Holt, Olaf A."
O,CSCI 252,B,L,    Software Design/Lab,,0.25 ,N,,Th 1245-0245PM,RNS 202,"Hall-Holt, Olaf A."
O,CSCI 273,,,Operating Systems,,1.00 ,N,,T 0800-0925 Th 0800-0920,RNS 203 RNS 203,"Brown, Richard"
C,CSCI 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CSCI 298,,,IS/,,1.00 ,N,,,,Staff
O,CSCI 333,,,Theory of Computation,,1.00 ,N,,MWF 1045-1140,RNS 203,"Allen, Richard"
C,CSCI 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CSCI 398,,,IR/,,1.00 ,N,,,,Staff
