St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,ALSO 100,A,,Top: Beginning Arabic I Permission of instructor required to register.,,1.00 ,N,,MWF 1255-0150PM,TOH 153,"Debska-McWilliams, Renata"
O,ALSO 100,B,,Top: Beginning Arabic I Permission of instructor required to register.,,1.00 ,N,,MWF 0200-0255PM,TOH 153,"Debska-McWilliams, Renata"
O,ALSO 102,,T,Top: Beginning Korean I Permission of instructor required to register.,,1.00 ,N,,T 0120-0245PM Th 0215-0335PM,TOH 153 TOH 153,"Debska-McWilliams, Renata"
O,ALSO 104,A,T,Top: Beginning Italian I Prerequisite: Permission of instructor required to register.,,1.00 ,N,,MWF 1045-1140,TOH 153,"Debska-McWilliams, Renata"
O,ALSO 104,B,T,Top: Beginning Italian I Prerequisite: Permission of instructor required to register.,,1.00 ,N,,MWF 1150-1245PM,TOH 153,"Debska-McWilliams, Renata"
O,ALSO 200,,T,Top: Arabic Intermediate Permission of instructor required to register.,,1.00 ,N,,T 0800-0925 Th 0800-0920,TOH 153 TOH 153,"Debska-McWilliams, Renata"
O,ALSO 298,,,IS/,,1.00 ,N,,,,Staff
C,AMCON 101,A,,Declaring Ind: 1607-1865 Open to American Conversations students only.,,1.00 ,N,,MWF 1255-0150PM,HH 317,"Allister, Mark"
C,AMCON 101,B,,Declaring Ind: 1607-1865 Open to American Conversations students only.,,1.00 ,N,,MWF 1255-0150PM,HH 319,"Fure-Slocum, Eric J."
C,AMCON 201,A,,Remaking Am: 1865-1945 Open to American Conversations students only.,,1.00 ,N,ALS-L MCD WRI,MWF 1150-1245PM,HH 317,"Wells, Colin"
C,AMCON 201,B,,Remaking Am: 1865-1945 Open to American Conversations students only.,,1.00 ,N,ALS-L MCD WRI,MWF 1150-1245PM,HH 319,"Willcoxon, Jeanne I."
C,AMST 100,,,Perspect Am Culture,,1.00 ,N,HBS MCD,MWF 1045-1140,OM 30,"Farrell, James"
C,AMST 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 298,,,IS/,,1.00 ,N,,,,Staff
C,AMST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 398,,,IR/,,1.00 ,N,,,,Staff
O,AR/AS 270,,,Vis Cult/Modern China,,1.00 ,N,ALS-A MCG,T 0935-1100 Th 0930-1050,TOH 110 TOH 110,"Kucera, Karil J."
O,AR/AS 270,,F,FLC- Chinese,,0.25 ,N,,,,"Kucera, Karil J. Wong, Ka F."
C,ARMS 121,,,Intro to Arms,,1.00 ,N,ALS-L MCD,T 0120-0245PM Th 0215-0335PM,RML 515 RML 515,"Nordstrom-Loeb, Bruce"
C,ARMS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 298,,,IS/,,1.00 ,N,,,,Staff
C,ARMS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 398,,,IR/,,1.00 ,N,,,,Staff
O,ART 102,A,,Foundation 2-D Media This course has class year limits.,,1.00 ,N,ALS-A,MWF 0800-1000,DC 216,"Ewald, Jill"
O,ART 102,B,,Foundation 2-D Media This course has class year limits.,,1.00 ,N,ALS-A,T 0800-1100 Th 0800-1050,DC 216 DC 216,"Saurer, John"
O,ART 102,C,,Foundation 2-D Media,,1.00 ,N,ALS-A,MWF 1045-1245PM,DC 216,"Ewald, Jill"
C,ART 103,,,Foundation 3-D Media This course has class year limits.,,1.00 ,N,ALS-A,TTh 0800-1100,DC 106,"Dell, Irve"
C,ART 104,,,Foundation New Media This course has class year limits.,,1.00 ,N,ALS-A,MWF 0800-1000,DC 100,"Nelson, Peter B."
C,ART 205,,,Photography This course has class-year limits.,,1.00 ,N,ALS-A,MWF 1255-0255PM,DC 102,"Ojala, Margaret"
C,ART 207,A,,Ceramics This course has class-year limits.,,1.00 ,N,ALS-A,T 0800-1100 Th 0800-1050,DC 115 DC 115,"Gallas, Ron"
C,ART 207,B,,Ceramics This course has class-year limits.,,1.00 ,N,ALS-A,T 1145-0245PM Th 1245-0345PM,DC 115 DC 115,"Gallas, Ron"
O,ART 221,,,Oil/Acrylic Painting Not open to first year students.,,1.00 ,N,,MWF 1255-0255PM,DC 214,"Weeks, Michon"
C,ART 223,,,Sculpt: Metal Casting,,1.00 ,N,,T 1145-0245PM Th 1245-0345PM,DC 105 DC 105,"Dell, Irve"
O,ART 225,,,Arch Drawing/Design I,,1.00 ,N,,MWF 1045-1245PM,DC 116,"Edwins, Steven"
C,ART 227,,,Printmkg: Intaglio/Mono,,1.00 ,N,,T 1145-0245PM Th 1245-0345PM,DC 212 DC 212,"Saurer, John"
O,ART 229,,,Video Art,,1.00 ,N,ALS-A,MWF 1045-1245PM,DC 100,"Nelson, Peter B."
C,ART 252,,,Art 1880-1950,,1.00 ,N,ALS-A HWC,T 0120-0245PM Th 0215-0335PM,DC 305 DC 305,"Tradowsky, Christopher"
C,ART 254,,,Italian Renaissance,,1.00 ,N,ALS-A HWC,T 0935-1100 Th 0930-1050,DC 305 DC 305,"Tradowsky, Christopher"
O,ART 256,,,History of Photography,,1.00 ,N,ALS-A,MWF 0905-1000,DC 102,"Ojala, Margaret"
O,ART 261,,,World Architecture,,1.00 ,N,ALS-A,MWF 0200-0255PM,DC 305,"Rohn, Matthew"
C,ART 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ART 298,,,IS/,,1.00 ,N,,,,Staff
