St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,ALSO 100,A,,Top: Beginning Arabic I,,1.00 ,N,,MWF 0800-0855,TOH 153,"Debska-McWilliams, Renata"
C,ALSO 100,B,,Top: Beginning Arabic I,,1.00 ,N,,MWF 0200-0255PM,TOH 153,"Debska-McWilliams, Renata"
C,AMCON 101,A,,Declaring Ind: 1607-1865 Open to American Conversations students only.,,1.00 ,N,,MWF 0905-1000,RML 525,"Fure-Slocum, Eric J. Wells, Colin"
C,AMCON 101,B,,Declaring Ind: 1607-1865 Open to American Conversations students only.,,1.00 ,N,,MWF 0905-1000,RML 520,"Fure-Slocum, Eric J. Wells, Colin"
C,AMCON 201,A,,Remaking Am: 1865-1945 Open to American Conversations students only.,,1.00 ,N,ALS-L MCD WRI,MWF 1255-0150PM,BMC 101,"Lagerquist, L. DeAne Titus, Mary"
C,AMCON 201,B,,Remaking Am: 1865-1945 Open to American Conversations students only.,,1.00 ,N,ALS-L MCD WRI,MWF 1255-0150PM,BMC 109,"Lagerquist, L. DeAne Titus, Mary"
O,AMST 100,,,Perspect Am Culture,,1.00 ,N,HBS MCD,MWF 1255-0150PM,HH 317,"Kutulas, Judy"
C,AMST 208,,T,Top: Ideals to Action Open only to American Studies majors. Others may register with instructor's permission.,,1.00 ,N,,MWF 1045-1140,HH 515,"Farrell, James"
C,AMST 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 298,,,IS/,,1.00 ,N,,,,Staff
C,AMST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 398,,,IR/,,1.00 ,N,,,,Staff
C,AR/AS 270,,,Vis Cult/Modern China,,1.00 ,N,ALS-A MCG,Th 0700-1000PM,DC 204,"Kucera, Karil J."
C,ARMS 121,,,Intro to Arms,,1.00 ,N,ALS-L MCD,T 0935-1100 Th 0930-1050,RML 421 RML 421,"Hepburn, Joan"
C,ARMS 251,,,Top: Rel/Hip-Hop Culture,,1.00 ,N,MCD,MWF 1045-1140,DC 204,"Alexander, Torin D."
C,ARMS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 298,,,IS/,,1.00 ,N,,,,Staff
C,ARMS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 398,,,IR/,,1.00 ,N,,,,Staff
C,ART 102,A,,Foundation 2-D Media This course has class year limits.,,1.00 ,N,ALS-A,MWF 0800-1000,DC 216,"Arneson, Wendell"
C,ART 102,B,,Foundation 2-D Media This course has class year limits.,,1.00 ,N,ALS-A,T 0800-1100 Th 0800-1050,DC 216 DC 216,"Saurer, John"
O,ART 102,C,,Foundation 2-D Media This course has class year limits.,,1.00 ,N,ALS-A,T 1145-0245PM Th 1245-0345PM,DC 216 DC 216,"Griep, Mary"
O,ART 103,,,Foundation 3-D Media This course has class year limits.,,1.00 ,N,ALS-A,MWF 1045-1245PM,DC 106,"Dell, Irve"
C,ART 104,A,,Foundation New Media This course has class year limits.,,1.00 ,N,ALS-A,T 0800-1100 Th 0800-1050,DC 100 DC 100,"Alvarez, Guido"
O,ART 104,B,,Foundation New Media This course has class year limits.,,1.00 ,N,ALS-A,T 1145-0245PM Th 1245-0345PM,DC 100 DC 100,"Alvarez, Guido"
C,ART 150,,,Intro/Art History I This course has class year limits.,,1.00 ,N,ALS-A MCG,MWF 0200-0255PM,DC 305,"Thompson, Nancy M."
C,ART 205,,,Photography,,1.00 ,N,ALS-A,T 1145-0245PM Th 1245-0345PM,DC 102 DC 102,"Ojala, Margaret"
C,ART 207,A,,Ceramics,,1.00 ,N,ALS-A,T 0800-1100 Th 0800-1050,DC 115 DC 115,"Gallas, Ron"
C,ART 207,B,,Ceramics,,1.00 ,N,ALS-A,T 1145-0245PM Th 1245-0345PM,DC 115 DC 115,"Gallas, Ron"
O,ART 221,,,Oil/Acrylic Painting Not open to first-year students.,,1.00 ,N,,MWF 1255-0255PM,DC 214,"Arneson, Wendell"
C,ART 223,,,Sculpt: Metal Casting,,1.00 ,N,,MWF 1255-0255PM,DC 105,"Dell, Irve"
O,ART 225,,,Arch Drawing/Design I,,1.00 ,N,,MWF 1255-0255PM,DC 116,"Edwins, Steven"
O,ART 227,,,Printmkg: Intaglio/Mono Not open to first-year students.,,1.00 ,N,,T 1145-0245PM Th 1245-0345PM,DC 212 DC 212,"Saurer, John"
O,ART 252,,,Art 1880-1950,,1.00 ,N,ALS-A HWC,MWF 0905-1000,DC 305,"Rohn, Matthew"
C,ART 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ART 298,,,IS/Puppetry,,1.00 ,N,,,,"Dell, Irve"
O,ART 298,A,,IS/Book Design,,1.00 ,N,,,,"Alvarez, Guido"
O,ART 298,B,,IS/Puppetry,,1.00 ,N,,,,"Dell, Irve"
O,ART 298,C,,IS/Adv. Ceramic Technique,,1.00 ,N,,,,"Gallas, Ron"
O,ART 298,D,,IS/Iconography of India,,1.00 ,N,,,,"Kucera, Karil J."
O,ART 298,E,,IS/Object Theater,,1.00 ,N,,,,"Dell, Irve"
O,ART 298,F,,IS/Photography and Text,,1.00 ,N,,,,"Ojala, Margaret"
O,ART 340,,T,Topics Sem/Studio Art,,1.00 ,N,,M 0700-1000PM,DC 204,"Dell, Irve"
C,ART 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ART 398,,,IR/Art Apprenticeship 1,,1.00 ,N,,,,"Saurer, John"
O,AS/EC 238,,,Econ Develop in Japan,,1.00 ,N,MCG,T 0935-1100 Th 0930-1050,TOH 212 TOH 212,"Dalgaard, Bruce"
C,AS/HI 250,,,Chinese Civilization,,1.00 ,N,MCG,MWF 0200-0255PM,HH 317,"Entenmann, Robert"
O,AS/HI 250,,F,FLC - Chinese,,0.25 ,N,,,,"Entenmann, Robert"
C,AS/HI 345,,S,Sem: East Asia,,1.00 ,N,WRI,T 0120-0245PM Th 0215-0335PM,HH 515 HH 515,"Entenmann, Robert"
C,AS/RE 289,A,,"Buddhism, Peace, Justice Prerequisite: Completion of BTS-T requirement. Open only to Seniors during web registration.",,1.00 ,N,EIN,MWF 1255-0150PM,BMC 110,"Reed, Barbara"
C,AS/RE 289,B,,"Buddhism, Peace, Justice Prerequisite: Completion of BTS-T requirement. Open only to Seniors during web registration.",,1.00 ,N,EIN,MWF 0200-0255PM,BMC 110,"Reed, Barbara"
O,ASIAN 121,,,Asian Cultures,,1.00 ,N,MCG,T 0935-1100 Th 0930-1050,DC 305 DC 305,"Kucera, Karil J."
O,ASIAN 156,,,Cont China Thru Film,,1.00 ,N,ALS-A MCG,T 1145-0110PM Th 1245-0205PM,TOH 310 TOH 310,"Wan, Pin Pin"
C,ASIAN 210,,,AsianCon1:MappingJourneys Registration for this course restricted to those students who have applied to the Asian Conversations program and been accepted into it.,,1.00 ,N,,T 1145-0110PM Th 1245-0205PM,DC 305 DC 305,"Kucera, Karil J."
O,ASIAN 240,,,Talking in Japan/US,,1.00 ,N,HBS MCG ORC,T 0120-0245PM Th 0215-0335PM,TOH 312 TOH 312,"Ito, Rika"
O,ASIAN 275,,,ID Approaches to Asia,,0.25 ,N,,M 0700-0900PM,RML 477,"MacPherson, Kristina"
O,ASIAN 298,,,IS/,,1.00 ,N,,,,Staff
O,ASIAN 398,,,IR/,,1.00 ,N,,,,Staff
O,ASIAN 399,,S,Sem: Asia This seminar is intended for Asian Studies majors.,,1.00 ,N,WRI,T 0935-1100 Th 0930-1050,HH 515 HH 515,"Entenmann, Robert"
C,BIO 110,,,Suppl Inst Cell Biol Registration by invitation only.,,0.25 ,Y,,MWF 1150-1245PM,RNS 226,"Walter, Anne"
C,BIO 123,,,"Human Biology Students in Bio 123 must also register for one lab Bio 123 AL/BL/CL.",,1.00 ,N,IST SED,T 1145-0110PM Th 1245-0205PM,RNS 210 RNS 210,"Van Wylen, David"
C,BIO 123,A,L,Human Biology Lab,,0.00 ,N,,Th 0900-1100,RNS 254,"Van Wylen, David"
C,BIO 123,B,L,Human Biology Lab,,0.00 ,N,,Th 0215-0415PM,RNS 254,"Van Wylen, David"
C,BIO 123,C,L,Human Biology Lab,,0.00 ,N,,F 0200-0400PM,RNS 254,"Van Wylen, David"
C,BIO 125,A,,"Cell Bio & Genetics Students in Bio 125A must also register for one lab Bio 125 AL, BL, or CL. This course has class year limits.",,1.00 ,N,IST SED,MWF 0800-0855,RNS 410,"Cole, Eric"
C,BIO 125,B,,"Cell Bio & Genetics Students in Bio 125B must also register for one lab Bio 125 DL, EL, or FL. This course has class year limits.",,1.00 ,N,IST SED,MWF 0905-1000,RNS 410,"Giannini, John"
C,BIO 125,C,,"Cell Bio & Genetics Students in Bio 125C must also register for one lab Bio 125 GL, HL, or IL. This course has class year limits.",,1.00 ,N,IST SED,MWF 1045-1140,RNS 410,"Fruehling, Sara E."
C,BIO 125,D,,Cell Bio & Genetics Students in Bio 125D must also register for one lab Bio 125 JL or KL.,,1.00 ,N,IST SED,T 1145-0110PM Th 1245-0205PM,RNS 410 RNS 410,"Resnick, Tamar"
C,BIO 125,A,L,Cell Bio & Genetics Lab,,0.00 ,N,,T 1145-0215PM,RNS 255,"Cole, Eric"
C,BIO 125,B,L,Cell Bio & Genetics Lab,,0.00 ,N,,T 0300-0530PM,RNS 255,"Cole, Eric"
C,BIO 125,C,L,Cell Bio & Genetics Lab,,0.00 ,N,,Th 0800-1030,RNS 255,"Cole, Eric"
C,BIO 125,D,L,Cell Bio & Genetics Lab,,0.00 ,N,,M 0130-0400PM,RNS 255,"Giannini, John"
C,BIO 125,E,L,Cell Bio & Genetics Lab,,0.00 ,N,,M 0500-0730PM,RNS 255,"Giannini, John"
C,BIO 125,F,L,Cell Bio & Genetics Lab,,0.00 ,N,,T 0800-1030,RNS 255,"Giannini, John"
C,BIO 125,G,L,Cell Bio & Genetics Lab,,0.00 ,N,,Th 0330-0600PM,RNS 255,"Fruehling, Sara E."
C,BIO 125,H,L,Cell Bio & Genetics Lab,,0.00 ,N,,Th 1245-0315PM,RNS 255,"Fruehling, Sara E."
