St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,AMCON 101,A,,Freedoms: 1607-1865 Open to American Conversations students only.,,1.00 ,N,,MWF 1045-1140,BMC 110,"Lagerquist, L. DeAne Rohn, Matthew"
C,AMCON 101,B,,Freedoms: 1607-1865 Open to American Conversations students only.,,1.00 ,N,,MWF 1045-1140,BMC 109,"Lagerquist, L. DeAne Rohn, Matthew"
C,AMCON 201,A,,Remaking Am: 1865-1945 Open to American Conversations students only.,,1.00 ,N,ALS-L MCD WRI,MWF 1255-0150PM,BMC 109,"Gisselman, Gary C. Farrell, James"
C,AMCON 201,B,,Remaking Am: 1865-1945 Open to American Conversations students only.,,1.00 ,N,ALS-L MCD WRI,MWF 1255-0150PM,BMC 111,"Gisselman, Gary C. Farrell, James"
C,AMST 100,,,Perspect Am Culture,,1.00 ,N,HBS MCD,MWF 1045-1140,HH 317,"Farrell, James"
O,AMST 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 298,,,IS/,,1.00 ,N,,,,Staff
O,AMST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 398,,,IR/,,1.00 ,N,WRI,,,Staff
O,AMST 398,A,,IR/,,1.00 ,N,WRI,,,Staff
O,AMST 398,B,,IR/,,1.00 ,N,WRI,,,Staff
O,AR/AS 259,,,Arts of China,,1.00 ,N,ALS-A MCG,MWF 1150-1245PM,DC 305,"Kucera, Karil J."
C,ARMS 121,,,Intro to Arms,,1.00 ,N,ALS-L MCD,T 1145-0110PM Th 1245-0205PM,RML 520 RML 520,"Hepburn, Joan"
O,ARMS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 298,,,IS/Soc Hist African Amer,,1.00 ,N,,,,"Fitzgerald, Michael"
O,ARMS 298,A,,IS/Multiracial Identity,,1.00 ,N,,,,"Fitzgerald, Michael"
O,ARMS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ARMS 398,,,IR/,,1.00 ,N,,,,Staff
O,ART 102,A,,Foundation 2-D Media This course has class year limits.,,1.00 ,N,ALS-A,MWF 1150-0150PM,DC 216,"Griep, Mary"
