St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
O,AFAM 231,,S,Sem: Africa/Americas,,1.00 ,N,ALS-L MCG,T 0935-1100 Th 0930-1050,TOH 110 TOH 110,"Iddrisu, Abdulai"
O,AFAM 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 298,,,IS/,,1.00 ,N,,,,Staff
O,AFAM 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 398,,,IR/,,1.00 ,N,,,,Staff
O,ALSO 100,,T,Top: Beginning Arabic I Prerequisite: Permission of instructor required to register.,,1.00 ,N,,MWF 0200-0255PM,,"Debska-McWilliams, Renata"
O,ALSO 101,,T,Top: Beginning Arabic II Prerequisite: completion of ALSO 100 or permission of the instructor.,,1.00 ,N,,MWF 1255-0150PM,TOH 153,"Debska-McWilliams, Renata"
O,ALSO 103,,T,Top: Beginning Korean II Prerequisite: completion of ALSO 102 or permission of the instructor.,,1.00 ,N,,T 0120-0245PM Th 0215-0335PM,TOH 153 TOH 153,"Debska-McWilliams, Renata"
O,ALSO 104,,T,Beginning Italian I Prerequisite: Permission of instructor required to register.,,1.00 ,N,,MWF 1045-1140,,"Debska-McWilliams, Renata"
O,ALSO 105,,T,Beginning Italian II Prerequisite: Permission of instructor required to register.,,1.00 ,N,,MWF 1150-1245PM,,"Debska-McWilliams, Renata"
O,ALSO 201,,T,Top: Intermed Arabic II Prerequisite: completion of ALSO 200 or permission of the instructor.,,1.00 ,N,,T 0800-0925 Th 0800-0920,TOH 153 TOH 153,"Debska-McWilliams, Renata"
O,AMCON 102,A,,Dem Vistas: 1800-1900 Open to American Conversations students only.,,1.00 ,N,FYW HWC,MWF 1255-0150PM,TOH 212,"Allister, Mark"
O,AMCON 102,B,,Dem Vistas: 1800-1900 Open to American Conversations students only.,,1.00 ,N,FYW HWC,MWF 1255-0150PM,TOH 214,"Fure-Slocum, Eric J."
