St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,AFAM 231,,S,Sem: Africa/Americas,,1.00 ,N,ALS-L MCG,T 0935-1100 Th 0930-1050,RML 421 RML 421,"Iddrisu, Abdulai"
C,AFAM 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 298,,,IS/,,1.00 ,N,,,,Staff
C,AFAM 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AFAM 398,,,IR/,,1.00 ,N,,,,Staff
O,ALSO 101,A,,Top: Beginning Arabic II,,1.00 ,N,,MWF 0800-0855,TOH 153,"Debska-McWilliams, Renata"
O,ALSO 101,B,,Top: Beginning Arabic II,,1.00 ,N,,MWF 0200-0255PM,TOH 153,"Debska-McWilliams, Renata"
C,AMCON 102,A,,Dem Vistas: 1800-1900 Open to American Conversations students only.,,1.00 ,N,FYW HWC,MWF 0200-0255PM,BMC 101,"Fure-Slocum, Eric J. Feeney, Megan J."
C,AMCON 102,B,,Dem Vistas: 1800-1900 Open to American Conversations students only.,,1.00 ,N,FYW HWC,MWF 0200-0255PM,BMC 110,"Fure-Slocum, Eric J. Feeney, Megan J."
C,AMCON 202,A,,Pur/Happiness: 1920-Pres. Open to American Conversations students only.,,1.00 ,N,ALS-A HBS ORC WRI,MWF 1255-0150PM,BMC 110,"Lagerquist, L. DeAne"
C,AMCON 202,B,,Pur/Happiness: 1920-Pres. Open to American Conversations students only.,,1.00 ,N,ALS-A HBS ORC WRI,MWF 1255-0150PM,BMC 110,"Lagerquist, L. DeAne"
C,AMST 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 298,,,IS/,,1.00 ,N,,,,Staff
O,AMST 301,,S,Sem: 1968 Am Revolutions Limited to American Studies majors. All other students by consent of instructor only.,,1.00 ,N,,T 1145-0110PM Th 1245-0205PM,TOH 212 TOH 212,"Allister, Mark"
C,AMST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,AMST 398,,,IR/,,1.00 ,N,,,,Staff
C,AR/AS 260,,,Arts of Japan,,1.00 ,N,ALS-A MCG,MWF 1150-1245PM,DC 305,"Kucera, Karil J."
C,AR/AS 310,,,Buddhism: Text-Image Prerequisite: sophomore standing or permission of the instructor.,,1.00 ,N,ALS-A MCG WRI,MWF 1045-1140,DC 204,"Kucera, Karil J."
C,ARMS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
