St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,ART 298,A,,IS/Advanced Printmaking,,1.00 ,N,,,,"Saurer, John"
O,ART 298,B,,IS/Mixed Media Sculpture,,1.00 ,N,,,,"Fisher, Kathryne"
O,ART 298,C,,IS/Ceramic Surface Design,,1.00 ,N,,,,"Saurer, John"
O,ART 298,D,,IS/Ceramic Sculpture,,1.00 ,N,,,,"Gallas, Ron"
O,ART 298,E,,IS/Text and Art,,1.00 ,N,,,,"Alvarez, Guido"
O,ART 298,F,,IS/Book Illustration,,1.00 ,N,,,,"Arneson, Wendell"
O,ART 298,G,,IS/Contemporary Tableware,,1.00 ,N,,,,"Fisher, Kathryne"
O,ART 298,H,,IS/Amer. Punk Aesthetics,,1.00 ,N,WRI,,,"Tradowsky, Christopher"
O,ART 298,I,,IS/Americana Dinnerware,,1.00 ,N,,,,"Gallas, Ron"
O,ART 343,,,Sr Studies/Studio Art Open to Seniors only.,,1.00 ,N,,MW 0100-0300PM Th 0700-0900PM,DC 305,"Alvarez, Guido Arneson, Wendell Saurer, John"
C,ART 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ART 398,,,IR/,,1.00 ,N,,,,Staff
C,ART 398,A,,IR/Art Apprenticeship III,,1.00 ,N,,,,"Saurer, John"
C,ART 398,B,,IR/Advanced Photography,,1.00 ,N,,,,"Ojala, Margaret"
C,AS/RE 256,,,Religions China/Japan,,1.00 ,N,MCG,MWF 1150-1245PM,BMC 111,"Reed, Barbara"
C,AS/RE 257,,,Buddhism,,1.00 ,N,MCG,MWF 1255-0150PM,BMC 111,"Reed, Barbara"
O,ASIAN 201,,T,Top: Poetic Voice,,1.00 ,N,ALS-L MCG,MWF 0200-0255PM,TOH 300,"Cannella, Shannon"
C,ASIAN 220,,,AsiaCon3:InterpretJourney Registration restricted to students in the Asian Con program.,,1.00 ,N,ALS-A ALS-L HBS MCG ORC WRI,T 1145-0110PM Th 1245-0205PM,TOH 316 TOH 316,"Larson, Phyllis Hyland"
