St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
O,BIO 298,,,IS/,,1.00 ,N,,,,Staff
O,BIO 298,A,,IS/Educating About Water,,1.00 ,N,,,,"Angell, Diane K."
C,BIO 298,B,,IS/Health Communications,,1.00 ,N,WRI,,,"Angell, Diane K."
C,BIO 348,,,Electron Microscopy This is an off-campus course.,,1.00 ,N,,M-F 0900-1000 M-F 1040-0200PM,RNS 246 RNS 246,"Cole, Eric"
C,BIO 391,,T,Top: Synapses to Behavior Open to Juniors and Seniors only.,,1.00 ,N,,M-Th 0900-1000 M-Th 1040-1240PM,RNS 124 RNS 124,"Rozeske, Robert R."
C,BIO 394,,,Academic Internship,,1.00 ,Y,,,,"Van Wylen, David"
O,BIO 394,B,,Academic Internship,,1.00 ,Y,,,,"Fruehling, Sara E."
O,BIO 398,,,IR/Hoover Dump Investigat,,1.00 ,N,,,,"Jackson, Paul T. Swift, Michael"
C,BMOLS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,BMOLS 298,,,IS/,,1.00 ,N,,,,Staff
C,BMOLS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,BMOLS 398,,,IR/GC/MS Lipid Analysis,,1.00 ,N,,,,"Muth, Gregory W."
O,CH/BI 126,,,Integrated Chem/Bio II Students in CH/BI 126 must also register for lab CH/BI 126 AL or BL. Open only to those students who have completed CH/BI 125.,,1.00 ,N,,M-F 0800-1000 M-F 1040-1240PM,RNS 310 RNS 310,"Schwinefus, Jeffrey J. Listenberger, Laura"
C,CH/BI 126,A,L,Integrate Chem/Bio II Lab,,0.00 ,N,,M-Th 1230-0300PM,RNS 355,"Schwinefus, Jeffrey J. Listenberger, Laura"
O,CH/BI 126,B,L,Integrate Chem/Bio II Lab,,0.00 ,N,,M-Th 1230-0300PM,RNS 350,"Schwinefus, Jeffrey J. Listenberger, Laura"
C,CHEM 123,A,,Atom/Molec Structure,,1.00 ,N,,M-F 0800-1000,RNS 390,"Marlier, Elodie"
O,CHEM 123,B,,Atom/Molec Structure,,1.00 ,N,,M-F 1040-1240PM,RNS 390,"Pearson, Wesley"
C,CHEM 124,,,A Matter of Environ Students in Chemistry 124 must also register for lab Chemistry 124 L.,,1.00 ,N,IST SED,M-F 0800-1000,RNS 410,"Muth, Gregory W."
C,CHEM 124,,L,A Matter of Environ Lab,,0.00 ,N,,TWTh 1230-0330PM,RNS 454,"Muth, Gregory W."
C,CHEM 252,,,Organometallic Chem,,1.00 ,N,WRI,M-F 0100-0300PM,RNS 435,"Kalyani, Dipannita"
C,CHEM 260,,,Med Chem in Jamaica This is an off-campus course.,,1.00 ,N,,,,"Hanson, Robert"
C,CHEM 294,,,Academic Internship,,1.00 ,Y,,,,"Beussman, Douglas J."
O,CHEM 298,,,IS/,,1.00 ,N,,,,Staff
O,CHEM 380,,,Organic Analys/Theory Lab time to be arranged. Students in Chemistry 380 must also register for lab Chemistry 380 L.,,1.00 ,N,,M-F 1040-1240PM,RNS 435,"Gittins, Peter J."
O,CHEM 380,,L,Organic Analys/Theory Lab,,0.00 ,N,,,,"Gittins, Peter J."
C,CHEM 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CHEM 398,,,IR/GS-MS of Human Scent,,1.00 ,N,,,,"Beussman, Douglas J."
O,CHEM 398,A,,IR/Organomet Synthesis,,1.00 ,N,,,,"Beussman, Douglas J."
O,CHEM 398,B,,IR/Molecular Dynamics,,1.00 ,N,WRI,,,"Klein, Jennifer C."
O,CHEM 398,C,,IR/Maldi-TOF Proteomics,,1.00 ,N,,,,"Beussman, Douglas J."
C,CHIN 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CHIN 298,,,IS/,,1.00 ,N,,,,Staff
C,CHIN 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CHIN 398,,,IR/,,1.00 ,N,,,,Staff
C,CLASS 121,,,W Greeks & E Barbarians,,1.00 ,N,HWC,M-F 0100-0300PM,TOH 214,"Caldesi-Valeri, Valerio"
C,CLASS 129,,,The Neverending Myth,,1.00 ,N,ALS-L,M-F 1040-1240PM,TOH 308,"Brunelle, Christopher M."
C,CLASS 251,,,Class Studies Greece This is an off-campus course.,,1.00 ,N,ALS-A HWC,,,"Groton, Anne"
C,CLASS 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CLASS 298,,,IS/,,1.00 ,N,,,,Staff
C,CLASS 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CLASS 398,,,IR/,,1.00 ,N,,,,Staff
C,CSCI 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CSCI 298,,,IS/Pll Design Patterns,,1.00 ,N,,,,"Brown, Richard"
C,CSCI 350,,,Advanced Team Project,,1.00 ,N,,M-F 0800-1000 M-F 0100-0300PM,RNS 203 RNS 203,"Hall-Holt, Olaf A."
C,CSCI 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,CSCI 398,,,IR/,,1.00 ,N,,,,Staff
C,DANCE 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,DANCE 298,,,IS/,,1.00 ,N,,,,Staff
C,DANCE 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,DANCE 398,,,IR/,,1.00 ,N,,,,Staff
C,ECON 114,,,American Business,,1.00 ,N,HBS,M-F 1040-1240PM,TOH 212,"Dalgaard, Bruce"
C,ECON 294,,,Academic Internship,,1.00 ,Y,,,,"Soderlind, Steve"
O,ECON 298,,,IS/,,1.00 ,N,,,,Staff
O,ECON 298,A,,IS/Rural China Growth,,1.00 ,N,WRI,,,"Pomponio, Xun"
C,ECON 394,,,Academic Internship,,1.00 ,Y,,,,"Soderlind, Steve"
O,ECON 398,,,IR/,,1.00 ,N,,,,Staff
C,EDUC 170,,,Schools & Communities Open to First-Year Students and Sophomores only. Admission by interview.,,1.00 ,Y,MCD,M-F 0800-1000 M-F 1040-1240PM,BC 143 BC 143,"McDonald, Eric"
C,EDUC 294,,,Academic Internship,,1.00 ,Y,,,,"Kelly, Maria L."
O,EDUC 298,,,IS/Human Geog/Peace Acad.,,1.00 ,N,,,,"McClure, Robert W."
O,EDUC 347,,,Teaching ESL K-12,,1.00 ,N,,MF 0900-0300PM,TOH 210,"Tesdall, Jessica L. Keasling, Calvin D."
X,EDUC 378,,,Multi-Cult Ed Hawaii This is an off-campus course. Admission by interview.,,1.00 ,Y,MCD,,,"Campbell, Heather"
C,EDUC 379,A,,Urban Sem & Practicum Admission by interview.,,1.00 ,Y,MCD,,,"Pfarr-Baker, Rosemary A."
C,EDUC 379,B,,Urban Ed Practicum Admission by interview.,,1.00 ,Y,MCD,,,"Campbell, Heather"
C,EDUC 394,,,Academic Internship,,1.00 ,Y,,,,"Kelly, Maria L."
O,EDUC 398,,,IR/,,1.00 ,N,,,,Staff
C,ENGL 123,,,Intro to Poetry,,1.00 ,N,ALS-L ORC,M-F 1040-1240PM,RML 515,"Titus, Mary"
C,ENGL 124,,,Intro to Drama,,1.00 ,N,ALS-L ORC,M-F 0100-0300PM,RML 515,"Naito, Jonathan T."
C,ENGL 212,,,Lit Eastern Caribbean This is an off-campus course.,,1.00 ,N,ALS-L MCG,,,"Cherewatuk, Karen"
C,ENGL 261,,,Beat Generation,,1.00 ,N,ALS-L,M-F 0100-0300PM,RML 525,"Wells, Colin"
C,ENGL 280,,T,Top: Pop Culture Studies,,1.00 ,N,ALS-L,M-F 1040-1240PM,RML 525,"Gallego, Carlos"
C,ENGL 288,,,Personal Essay,,1.00 ,N,ALS-L WRI,M-F 0100-0300PM,RML 520,"Dunning, Jenny"
C,ENGL 289,,,Journalistic Writing,,1.00 ,N,WRI,M-F 1040-1240PM,RML 420,"Hill, Jan C."
C,ENGL 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ENGL 298,,,IS/Intdscp: Postcol Study,,1.00 ,N,,,,"Gallego, Carlos"
C,ENGL 340,,T,"Top: Sex,Madness&Marriage",,1.00 ,N,,M-F 1040-1240PM,RML 520,"Holly, Carol"
C,ENGL 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ENGL 398,,,IR/,,1.00 ,N,,,,Staff
O,ENVST 137,,,Intro: Env Studies,,1.00 ,N,IST,M-F 0800-1000 M-F 0100-0300PM,RNS 290 RNS 290,"Swift, Michael"
C,ENVST 281,,T,"Top: Food, Politics & Env",,1.00 ,N,,M-F 0100-0300PM,RNS 400,"Garvey, Michelle"
C,ENVST 283,,,Top: Polar Literature,,1.00 ,N,ALS-L,M-F 0800-1000 M-F 1040-1240PM,RNS 206 RNS 206,"Jacobel, Robert"
C,ENVST 294,,,Academic Internship,,1.00 ,Y,,,,"Hill, Jan C. Jackson, Paul T."
O,ENVST 294,A,,Academic Internship,,1.00 ,Y,,,,"Jackson, Paul T."
O,ENVST 298,,,IS/Sustainable Societies,,1.00 ,N,,,,"Judge, Rebecca"
O,ENVST 298,A,,IS/Developing AG Research,,1.00 ,N,,,,"Angell, Diane K."
C,ENVST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ENVST 398,,,IR/Landfill Investigation,,1.00 ,N,,,,"Jackson, Paul T."
C,ESTH 294,,,Academic Internship,,1.00 ,Y,,,,"Book, Cynthia"
O,ESTH 294,A,,Academic Internship,,1.00 ,Y,,,,"Goldsworthy, William Sean"
O,ESTH 298,,,IS/ACL Injury Prevention,,1.00 ,N,,,,"Book, Cynthia"
C,ESTH 394,,,Academic Internship,,1.00 ,Y,,,,"Book, Cynthia"
O,ESTH 394,A,,Academic Internship,,1.00 ,Y,,,,"McCarthy, Robert K."
O,ESTH 394,B,,Academic Internship,,1.00 ,Y,,,,"Book, Cynthia"
O,ESTH 398,,,IR/,,1.00 ,N,,,,Staff
C,FAMST 294,,,Academic Internship,,1.00 ,Y,,,,"Chandran, Devyani"
O,FAMST 298,,,IS/Respite Care,,1.00 ,N,,,,"Chandran, Devyani"
C,FAMST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,FAMST 398,,,IR/,,1.00 ,N,,,,Staff
C,FREN 235,,,Fr Lang/Moroccan Culture Open to all students who meet the requirements. This is an off-campus course.,,1.00 ,N,FOL-F MCG,,,"Bekhechi, Amine R."
O,FREN 250,,,Speaking of French Open to all students who meet the requirements.,,1.00 ,N,FOL-F ORC,M-F 1040-0330PM,TOH 310,"Biem, Jean E."
C,FREN 275,,,ID French St--Paris Open to all students who meet the requirements. This is an off-campus course.,,1.00 ,N,,,,"Allen, Wendy"
C,FREN 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,FREN 298,,,IS/,,1.00 ,N,,,,Staff
C,FREN 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,FREN 398,,,IR/,,1.00 ,N,,,,Staff
C,GCON 115,A,,Romans & Christians Open to Great Conversation students only.,,1.00 ,N,BTS-B WRI,M-F 1040-1240PM,HH 514,"Barbour, John"
C,GCON 115,B,,Romans & Christians Open to Great Conversation students only.,,1.00 ,N,BTS-B WRI,M-F 1040-1240PM,HH 515,"Grenberg, Jeanine"
C,GCON 115,C,,Romans & Christians Open to Great Conversation students only.,,1.00 ,N,BTS-B WRI,M-F 1040-1240PM,HH 516,"Howe, Timothy R."
C,GCON 115,D,,Romans & Christians Open to Great Conversation students only.,,1.00 ,N,BTS-B WRI,M-F 1040-1240PM,BMC 101,"Galbraith, Elizabeth C."
C,GCON 115,E,,Romans & Christians Open to Great Conversation students only.,,1.00 ,N,BTS-B WRI,M-F 1040-1240PM,BMC 110,"Willcoxon, Jeanne I."
C,GCON 115,F,,Romans & Christians Open to Great Conversation students only.,,1.00 ,N,BTS-B WRI,M-F 1040-1240PM,BMC 111,"Soderlind, Steve"
C,GERM 147,,,Folk/Fairy/Fables-Tr In English.,,1.00 ,N,ALS-L HWC,M-F 0100-0300PM,RNS 150,"Rippley, Lavern"
C,GERM 246,,,"Age of Goethe-Tr In English, no prerequisites. This course is open to first-year students.",,1.00 ,N,HWC WRI,M-F 1040-1240PM,TOH 314,"Fink, Karl"
O,GERM 249,,,German Cinema In English. Open to first-year students.,,1.00 ,N,ALS-A HWC,M-F 1040-1240PM,TOH 108,"Achberger, Karen R."
O,GERM 249,,F,FLC - German You may register for the FLAC component separately at any time after web reg.,,0.00 ,Y,,,,"Achberger, Karen R."
C,GERM 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,GERM 298,,,IS/,,1.00 ,N,,,,Staff
O,GERM 298,A,,IS/Math Methods in German,,1.00 ,N,,,,"Fink, Karl"
C,GERM 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,GERM 398,,,IR/WWI Diary Translation,,1.00 ,N,,,,"Fink, Karl"
O,GERM 398,A,,IR/Swiss Multi Lang Ed,,1.00 ,N,,,,"Fink, Karl"
C,GREEK 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,GREEK 298,,,IS/,,1.00 ,N,,,,Staff
C,GREEK 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,GREEK 398,,,IR/,,1.00 ,N,,,,Staff
O,HIST 117,,,Elizabethan England Open to first-year students only.,,1.00 ,N,HWC,M-F 1040-1240PM,RML 421,"De Krey, Gary"
O,HIST 169,,,The Western Home Open to first-year students only.,,1.00 ,N,HWC,M-F 1040-1240PM,HH 302,"Nichol, Todd W."
C,HIST 239,,,Wmn/Gender/Mod Europe Open to first-year students.,,1.00 ,N,HWC,M-F 1040-1240PM,TOH 214,"Kuxhausen, Anna"
C,HIST 244,,,Revolutionary Cuba This is an off-campus course.,,1.00 ,N,MCG,,,"DeLaney, Jeane"
C,HIST 244,,F,FLC - Spanish,,0.00 ,Y,,,,"DeLaney, Jeane"
O,HIST 293,,,Top: Doing Public History This course does not fulfill HWC.,,1.00 ,N,,M-F 0100-0300PM,HH 514,"Fure-Slocum, Eric J."
C,HIST 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,HIST 298,,,IS/PRI in Mexico,,1.00 ,N,,,,"Iddrisu, Abdulai"
C,HIST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,HIST 398,,,IR/Philip Historiography,,1.00 ,N,,,,"Howe, Timothy R."
O,HIST 398,A,,IR/Medieval Warfare,,1.00 ,N,,,,"Carrington, J. L."
C,HSPST 294,,,Academic Internship,,1.00 ,Y,,,,"Nordstrom-Loeb, Bruce"
O,HSPST 298,,,IS/Revolutionary Feminism,,1.00 ,N,,,,"Chiappari, Christopher L."
C,HSPST 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,HSPST 398,,,IR/,,1.00 ,N,,,,Staff
C,ID 255,,,Hospital Health Care This is an off-campus course.,,1.00 ,Y,,,,"Pearson, Wesley"
C,ID 258,,,Theater in London This is an off-campus course.,,1.00 ,N,ALS-A,,,"Postlethwaite, Diana"
C,ID 294,,,Academic Internship,,1.00 ,Y,,,,"Walter, Anne"
C,ID 294,A,,Academic Internship,,1.00 ,Y,,,,"McDonald, Eric"
O,ID 294,B,,Academic Internship,,1.00 ,Y,,,,"McClure, Robert W."
O,ID 294,C,,Academic Internship,,1.00 ,Y,,,,"Stromme, David A."
O,ID 298,,,IS/ Teaching of Comp Sci,,1.00 ,N,,,,"Huff, Charles"
C,ID 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ID 396,,,Research: Mayo Scholars,,1.00 ,N,,M-F 0800-1000 M-F 1040-1240PM M-F 0100-0300PM,RNS 226 RNS 226 RNS 226,"Demas, James"
O,ID 398,,,IR/,,1.00 ,N,,,,Staff
C,IDFA 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,IDFA 298,,,IS/,,1.00 ,N,,,,Staff
C,IDFA 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,IDFA 398,,,IR/,,1.00 ,N,,,,Staff
O,INTD 100,,,No Interim,,0.00 ,Y,,,,Staff
C,IS 219,,T,Top: Collaborative Design Not open to first-year-students.,,1.00 ,N,IST ORC,M-F 0830-1000 M-F 0100-0330PM,RNS 293 RNS 293,"Engbrecht, Jason J."
C,IS 294,,,Academic Internship,,1.00 ,Y,,MWF 0900-1230PM,TOH 200,Staff
O,IS 298,,,IS/,,1.00 ,N,,,,Staff
C,IS 394,,,Academic Internship,,1.00 ,Y,,,,"Beussman, Douglas J."
O,IS 398,,,IR/,,1.00 ,N,,,,Staff
C,JAPAN 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,JAPAN 298,,,IS/,,1.00 ,N,,,,Staff
C,JAPAN 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,JAPAN 398,,,IR/,,1.00 ,N,,,,Staff
C,LATIN 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,LATIN 298,,,IS/,,1.00 ,N,,,,Staff
